

Starting up. (ID: cqd-aVuP) 01:03.34
---------------------
[01:03:34] cqd-aVuP MISC: Saved storyteller is 'healer'
[01:03:34] cqd-aVuP ADMIN: Loading jobban_rank
[01:03:34] cqd-aVuP ADMIN: jobban_keylist was empty
[01:03:34] cqd-aVuP ADMIN: Loading Banlist
[01:05:24] cqd-aVuP ADMIN: Sybil Alliman try find_inv_position a 14, but not have that slot!
[01:05:24] cqd-aVuP ADMIN: Sybil Alliman try find_inv_position a 11, but not have that slot!
[01:05:24] cqd-aVuP ADMIN: Sybil Alliman try find_inv_position a 13, but not have that slot!
[01:05:24] cqd-aVuP ADMIN: Sybil Alliman try find_inv_position a 12, but not have that slot!
[01:05:24] cqd-aVuP ADMIN: Zane Pinney try find_inv_position a 14, but not have that slot!
[01:05:24] cqd-aVuP ADMIN: Zane Pinney try find_inv_position a 11, but not have that slot!
[01:05:24] cqd-aVuP ADMIN: Zane Pinney try find_inv_position a 13, but not have that slot!
[01:05:24] cqd-aVuP ADMIN: Zane Pinney try find_inv_position a 12, but not have that slot!
[01:05:24] cqd-aVuP ADMIN: Reid Werner try find_inv_position a 14, but not have that slot!
[01:05:24] cqd-aVuP ADMIN: Reid Werner try find_inv_position a 11, but not have that slot!
[01:05:24] cqd-aVuP ADMIN: Reid Werner try find_inv_position a 13, but not have that slot!
[01:05:24] cqd-aVuP ADMIN: Reid Werner try find_inv_position a 12, but not have that slot!
[01:05:24] cqd-aVuP ADMIN: Brayden Laborde try find_inv_position a 14, but not have that slot!
[01:05:24] cqd-aVuP ADMIN: Brayden Laborde try find_inv_position a 11, but not have that slot!
[01:05:24] cqd-aVuP ADMIN: Brayden Laborde try find_inv_position a 13, but not have that slot!
[01:05:24] cqd-aVuP ADMIN: Brayden Laborde try find_inv_position a 12, but not have that slot!
[01:05:24] cqd-aVuP ADMIN: Rocco Stall try find_inv_position a 14, but not have that slot!
[01:05:24] cqd-aVuP ADMIN: Rocco Stall try find_inv_position a 11, but not have that slot!
[01:05:24] cqd-aVuP ADMIN: Rocco Stall try find_inv_position a 13, but not have that slot!
[01:05:24] cqd-aVuP ADMIN: Rocco Stall try find_inv_position a 12, but not have that slot!
[01:05:25] cqd-aVuP ADMIN: Sam Evans try find_inv_position a 14, but not have that slot!
[01:05:25] cqd-aVuP ADMIN: Sam Evans try find_inv_position a 11, but not have that slot!
[01:05:25] cqd-aVuP ADMIN: Sam Evans try find_inv_position a 13, but not have that slot!
[01:05:25] cqd-aVuP ADMIN: Sam Evans try find_inv_position a 12, but not have that slot!
[01:07:47] cqd-aVuP GAME: onestar 2 loaded at at 71,86,19
[01:07:47] cqd-aVuP GAME: onestar 1 loaded at at 86,41,19
[01:07:48] cqd-aVuP GAME: onestar 1 loaded at at 86,16,19
[01:07:49] cqd-aVuP GAME: onestar 3 loaded at at 31,11,19
[01:07:49] cqd-aVuP GAME: neutral 2 loaded at at 56,51,19
[01:07:49] cqd-aVuP GAME: neutral 2 loaded at at 71,46,19
[01:07:49] cqd-aVuP GAME: neutral 4 loaded at at 66,66,19
[01:07:49] cqd-aVuP GAME: neutral 9 loaded at at 26,36,19
[01:07:49] cqd-aVuP GAME: neutral 2 loaded at at 81,51,19
[01:07:49] cqd-aVuP GAME: neutral 10 loaded at at 76,81,19
[01:07:49] cqd-aVuP GAME: neutral 1 loaded at at 51,76,19
[01:07:49] cqd-aVuP GAME: neutral 3 loaded at at 21,76,19
[01:07:49] cqd-aVuP GAME: neutral 1 loaded at at 71,36,19
[01:07:49] cqd-aVuP GAME: neutral 3 loaded at at 66,46,19
[01:07:49] cqd-aVuP GAME: neutral 2 loaded at at 71,81,19
[01:07:49] cqd-aVuP GAME: neutral 7 loaded at at 101,81,19
[01:07:49] cqd-aVuP GAME: neutral 6 loaded at at 81,16,19
[01:07:49] cqd-aVuP GAME: neutral 1 loaded at at 106,106,19
[01:07:49] cqd-aVuP GAME: neutral 4 loaded at at 76,21,19
[01:07:49] cqd-aVuP GAME: neutral 6 loaded at at 16,51,19
[01:07:50] cqd-aVuP GAME: neutral 5 loaded at at 16,21,19
[01:07:50] cqd-aVuP GAME: neutral 9 loaded at at 61,56,19
[01:07:50] cqd-aVuP GAME: neutral 11 loaded at at 56,11,19
[01:07:50] cqd-aVuP GAME: neutral 1 loaded at at 96,106,19
[01:07:50] cqd-aVuP GAME: neutral 9 loaded at at 36,101,19
[01:07:50] cqd-aVuP GAME: neutral 3 loaded at at 46,96,19
[01:07:50] cqd-aVuP GAME: neutral 11 loaded at at 31,56,19
[01:07:50] cqd-aVuP GAME: neutral 3 loaded at at 26,11,19
[01:07:50] cqd-aVuP GAME: neutral 6 loaded at at 101,71,19
[01:07:50] cqd-aVuP GAME: neutral 8 loaded at at 66,81,19
[01:07:50] cqd-aVuP GAME: neutral 3 loaded at at 21,31,19
[01:07:50] cqd-aVuP GAME: neutral 10 loaded at at 56,26,19
[01:07:50] cqd-aVuP GAME: neutral 9 loaded at at 21,21,19
[01:07:50] cqd-aVuP GAME: neutral 9 loaded at at 11,96,19
[01:07:50] cqd-aVuP GAME: neutral 1 loaded at at 61,56,19
[01:07:50] cqd-aVuP GAME: neutral 5 loaded at at 41,11,19
[01:07:50] cqd-aVuP GAME: neutral 10 loaded at at 26,66,19
[01:07:50] cqd-aVuP GAME: neutral 9 loaded at at 46,106,19
[01:07:50] cqd-aVuP GAME: neutral 6 loaded at at 101,41,19
[01:08:04] cqd-aVuP GAME: Emitter deleted at (0,0,0)
[01:08:56] cqd-aVuP ASSET: ERROR: Invalid asset: /datum/asset/simple/craft:obj_item_stack_cable_coil.png:1
[01:09:00] cqd-aVuP ASSET: ERROR: Invalid asset: /datum/asset/simple/craft:obj_item_clothing_glasses_powered_meson.png:1
[01:09:01] cqd-aVuP ASSET: ERROR: Invalid asset: /datum/asset/simple/craft:obj_item_gun_projectile_boltgun_lever.png:1
[01:09:01] cqd-aVuP ASSET: ERROR: Invalid asset: /datum/asset/simple/craft:obj_item_gun_projectile_automatic_sts_rifle.png:1
