

Starting up. (ID: cqr-c9st) 15:41.04
---------------------
[15:41:04] cqr-c9st MISC: Saved storyteller is 'healer'
[15:41:04] cqr-c9st ADMIN: Loading jobban_rank
[15:41:04] cqr-c9st ADMIN: jobban_keylist was empty
[15:41:04] cqr-c9st ADMIN: Loading Banlist
[15:42:07] cqr-c9st ACCESS: Login: RiotScopez/() from 64.238.138.250-1871707424 || BYOND v514.1582
[15:42:07] cqr-c9st ACCESS: Login: RiotScopez/(/(RiotScopez)) from 64.238.138.250-1871707424 || BYOND v514
[15:42:08] cqr-c9st DEBUG: Could not find style "ErisStyle" for /mob/new_player.
[15:42:08] cqr-c9st ACCESS: Login: RiotScopez/(/(RiotScopez)) from 64.238.138.250-1871707424 || BYOND v514
[15:42:49] cqr-c9st ADMIN: EVENT *null* has loaded a character.
[15:42:57] cqr-c9st ADMIN: Weston Stephenson try find_inv_position a 14, but not have that slot!
[15:42:57] cqr-c9st ADMIN: Weston Stephenson try find_inv_position a 11, but not have that slot!
[15:42:57] cqr-c9st ADMIN: Weston Stephenson try find_inv_position a 13, but not have that slot!
[15:42:57] cqr-c9st ADMIN: Weston Stephenson try find_inv_position a 12, but not have that slot!
[15:42:57] cqr-c9st ADMIN: Keziah Greenwood try find_inv_position a 14, but not have that slot!
[15:42:57] cqr-c9st ADMIN: Keziah Greenwood try find_inv_position a 11, but not have that slot!
[15:42:57] cqr-c9st ADMIN: Keziah Greenwood try find_inv_position a 13, but not have that slot!
[15:42:57] cqr-c9st ADMIN: Keziah Greenwood try find_inv_position a 12, but not have that slot!
[15:42:57] cqr-c9st ADMIN: Jimmy Hirleman try find_inv_position a 14, but not have that slot!
[15:42:57] cqr-c9st ADMIN: Jimmy Hirleman try find_inv_position a 11, but not have that slot!
[15:42:57] cqr-c9st ADMIN: Jimmy Hirleman try find_inv_position a 13, but not have that slot!
[15:42:57] cqr-c9st ADMIN: Jimmy Hirleman try find_inv_position a 12, but not have that slot!
[15:42:57] cqr-c9st ADMIN: Christian Reid try find_inv_position a 14, but not have that slot!
[15:42:57] cqr-c9st ADMIN: Christian Reid try find_inv_position a 11, but not have that slot!
[15:42:57] cqr-c9st ADMIN: Christian Reid try find_inv_position a 13, but not have that slot!
[15:42:57] cqr-c9st ADMIN: Christian Reid try find_inv_position a 12, but not have that slot!
[15:42:57] cqr-c9st ADMIN: Moses Harrow try find_inv_position a 14, but not have that slot!
[15:42:57] cqr-c9st ADMIN: Moses Harrow try find_inv_position a 11, but not have that slot!
[15:42:57] cqr-c9st ADMIN: Moses Harrow try find_inv_position a 13, but not have that slot!
[15:42:57] cqr-c9st ADMIN: Moses Harrow try find_inv_position a 12, but not have that slot!
[15:42:58] cqr-c9st ADMIN: Jeremiah Lowstetter try find_inv_position a 14, but not have that slot!
[15:42:58] cqr-c9st ADMIN: Jeremiah Lowstetter try find_inv_position a 11, but not have that slot!
[15:42:58] cqr-c9st ADMIN: Jeremiah Lowstetter try find_inv_position a 13, but not have that slot!
[15:42:58] cqr-c9st ADMIN: Jeremiah Lowstetter try find_inv_position a 12, but not have that slot!
[15:45:23] cqr-c9st GAME: neutral 2 loaded at at 86,61,19
[15:45:23] cqr-c9st GAME: neutral 2 loaded at at 51,26,19
[15:45:24] cqr-c9st GAME: neutral 3 loaded at at 36,76,19
[15:45:25] cqr-c9st GAME: neutral 3 loaded at at 86,31,19
[15:45:25] cqr-c9st GAME: neutral 1 loaded at at 86,56,19
[15:45:25] cqr-c9st GAME: neutral 8 loaded at at 16,51,19
[15:45:25] cqr-c9st GAME: neutral 3 loaded at at 76,96,19
[15:45:25] cqr-c9st GAME: neutral 9 loaded at at 36,21,19
[15:45:25] cqr-c9st GAME: neutral 11 loaded at at 31,81,19
[15:45:25] cqr-c9st GAME: neutral 5 loaded at at 11,96,19
[15:45:25] cqr-c9st GAME: neutral 6 loaded at at 51,26,19
[15:45:25] cqr-c9st GAME: neutral 6 loaded at at 56,21,19
[15:45:25] cqr-c9st GAME: neutral 7 loaded at at 81,101,19
[15:45:25] cqr-c9st GAME: neutral 5 loaded at at 71,96,19
[15:45:25] cqr-c9st GAME: neutral 10 loaded at at 106,16,19
[15:45:25] cqr-c9st GAME: neutral 4 loaded at at 96,96,19
[15:45:25] cqr-c9st GAME: neutral 11 loaded at at 101,66,19
[15:45:25] cqr-c9st GAME: neutral 1 loaded at at 81,61,19
[15:45:26] cqr-c9st GAME: neutral 5 loaded at at 86,101,19
[15:45:26] cqr-c9st GAME: neutral 3 loaded at at 36,106,19
[15:45:26] cqr-c9st GAME: neutral 1 loaded at at 86,106,19
[15:45:26] cqr-c9st GAME: neutral 7 loaded at at 86,31,19
[15:45:26] cqr-c9st GAME: neutral 5 loaded at at 61,26,19
[15:45:26] cqr-c9st GAME: neutral 4 loaded at at 101,101,19
[15:45:26] cqr-c9st GAME: neutral 11 loaded at at 86,106,19
[15:45:26] cqr-c9st GAME: neutral 5 loaded at at 101,11,19
[15:45:26] cqr-c9st GAME: neutral 2 loaded at at 36,26,19
[15:45:26] cqr-c9st GAME: neutral 9 loaded at at 11,81,19
[15:45:26] cqr-c9st GAME: neutral 8 loaded at at 11,66,19
[15:45:26] cqr-c9st GAME: neutral 9 loaded at at 86,71,19
[15:45:26] cqr-c9st GAME: neutral 10 loaded at at 86,26,19
[15:45:26] cqr-c9st GAME: neutral 5 loaded at at 66,91,19
[15:45:26] cqr-c9st GAME: neutral 11 loaded at at 16,26,19
[15:45:26] cqr-c9st GAME: neutral 10 loaded at at 91,96,19
[15:45:26] cqr-c9st GAME: neutral 11 loaded at at 51,11,19
[15:45:26] cqr-c9st GAME: neutral 7 loaded at at 91,21,19
[15:45:26] cqr-c9st GAME: neutral 9 loaded at at 91,26,19
[15:45:26] cqr-c9st GAME: neutral 5 loaded at at 21,101,19
[15:45:26] cqr-c9st GAME: neutral 2 loaded at at 81,36,19
[15:45:39] cqr-c9st GAME: Emitter deleted at (0,0,0)
[15:46:39] cqr-c9st ASSET: ERROR: Invalid asset: /datum/asset/simple/craft:obj_item_stack_cable_coil.png:1
