

Starting up. (ID: cqU-avod) 21:16.20
---------------------
[21:16:20] cqU-avod MISC: Saved storyteller is 'healer'
[21:16:20] cqU-avod ADMIN: Loading jobban_rank
[21:16:20] cqU-avod ADMIN: jobban_keylist was empty
[21:16:20] cqU-avod ADMIN: Loading Banlist
[21:16:49] cqU-avod ACCESS: Logout: RiotScopez/()
[21:17:23] cqU-avod ACCESS: Login: RiotScopez/() from 146.115.147.185-1871707424 || BYOND v514.1585
[21:17:23] cqU-avod ACCESS: Login: RiotScopez/(/(RiotScopez)) from 146.115.147.185-1871707424 || BYOND v514
[21:17:23] cqU-avod DEBUG: Could not find style "ErisStyle" for /mob/new_player.
[21:17:23] cqU-avod ACCESS: Login: RiotScopez/(/(RiotScopez)) from 146.115.147.185-1871707424 || BYOND v514
[21:18:04] cqU-avod ADMIN: EVENT *null* has loaded a character.
[21:18:12] cqU-avod ADMIN: Dominick Mccullough try find_inv_position a 14, but not have that slot!
[21:18:12] cqU-avod ADMIN: Dominick Mccullough try find_inv_position a 11, but not have that slot!
[21:18:12] cqU-avod ADMIN: Dominick Mccullough try find_inv_position a 13, but not have that slot!
[21:18:12] cqU-avod ADMIN: Dominick Mccullough try find_inv_position a 12, but not have that slot!
[21:18:12] cqU-avod ADMIN: Jackson Woodward try find_inv_position a 14, but not have that slot!
[21:18:12] cqU-avod ADMIN: Jackson Woodward try find_inv_position a 11, but not have that slot!
[21:18:12] cqU-avod ADMIN: Jackson Woodward try find_inv_position a 13, but not have that slot!
[21:18:12] cqU-avod ADMIN: Jackson Woodward try find_inv_position a 12, but not have that slot!
[21:18:12] cqU-avod ADMIN: Gary Weeter try find_inv_position a 14, but not have that slot!
[21:18:12] cqU-avod ADMIN: Gary Weeter try find_inv_position a 11, but not have that slot!
[21:18:12] cqU-avod ADMIN: Gary Weeter try find_inv_position a 13, but not have that slot!
[21:18:12] cqU-avod ADMIN: Gary Weeter try find_inv_position a 12, but not have that slot!
[21:18:12] cqU-avod ADMIN: Stephen Baker try find_inv_position a 14, but not have that slot!
[21:18:12] cqU-avod ADMIN: Stephen Baker try find_inv_position a 11, but not have that slot!
[21:18:12] cqU-avod ADMIN: Stephen Baker try find_inv_position a 13, but not have that slot!
[21:18:12] cqU-avod ADMIN: Stephen Baker try find_inv_position a 12, but not have that slot!
[21:18:13] cqU-avod ADMIN: Braiden Mosser try find_inv_position a 14, but not have that slot!
[21:18:13] cqU-avod ADMIN: Braiden Mosser try find_inv_position a 11, but not have that slot!
[21:18:13] cqU-avod ADMIN: Braiden Mosser try find_inv_position a 13, but not have that slot!
[21:18:13] cqU-avod ADMIN: Braiden Mosser try find_inv_position a 12, but not have that slot!
[21:18:13] cqU-avod ADMIN: Raymond Mckendrick try find_inv_position a 14, but not have that slot!
[21:18:13] cqU-avod ADMIN: Raymond Mckendrick try find_inv_position a 11, but not have that slot!
[21:18:13] cqU-avod ADMIN: Raymond Mckendrick try find_inv_position a 13, but not have that slot!
[21:18:13] cqU-avod ADMIN: Raymond Mckendrick try find_inv_position a 12, but not have that slot!
[21:20:34] cqU-avod GAME: neutral 2 loaded at at 86,16,19
[21:20:35] cqU-avod GAME: neutral 2 loaded at at 86,21,19
[21:20:35] cqU-avod GAME: neutral 2 loaded at at 26,21,19
[21:20:36] cqU-avod GAME: neutral 3 loaded at at 86,86,19
[21:20:36] cqU-avod GAME: neutral 1 loaded at at 101,61,19
[21:20:36] cqU-avod GAME: neutral 8 loaded at at 16,46,19
[21:20:36] cqU-avod GAME: neutral 6 loaded at at 21,71,19
[21:20:36] cqU-avod GAME: neutral 6 loaded at at 26,21,19
[21:20:36] cqU-avod GAME: neutral 1 loaded at at 81,46,19
[21:20:36] cqU-avod GAME: neutral 3 loaded at at 71,21,19
[21:20:36] cqU-avod GAME: neutral 5 loaded at at 71,36,19
[21:20:36] cqU-avod GAME: neutral 7 loaded at at 66,46,19
[21:20:36] cqU-avod GAME: neutral 1 loaded at at 16,41,19
[21:20:36] cqU-avod GAME: neutral 10 loaded at at 76,41,19
[21:20:36] cqU-avod GAME: neutral 11 loaded at at 31,81,19
[21:20:36] cqU-avod GAME: neutral 6 loaded at at 11,91,19
[21:20:36] cqU-avod GAME: neutral 2 loaded at at 86,71,19
[21:20:36] cqU-avod GAME: neutral 8 loaded at at 101,56,19
[21:20:36] cqU-avod GAME: neutral 11 loaded at at 101,81,19
[21:20:36] cqU-avod GAME: neutral 7 loaded at at 71,71,19
[21:20:36] cqU-avod GAME: neutral 8 loaded at at 76,76,19
[21:20:36] cqU-avod GAME: neutral 3 loaded at at 61,101,19
[21:20:36] cqU-avod GAME: neutral 10 loaded at at 86,11,19
[21:20:37] cqU-avod GAME: neutral 3 loaded at at 71,86,19
[21:20:37] cqU-avod GAME: neutral 5 loaded at at 46,11,19
[21:20:37] cqU-avod GAME: neutral 9 loaded at at 76,26,19
[21:20:37] cqU-avod GAME: neutral 7 loaded at at 61,71,19
[21:20:37] cqU-avod GAME: neutral 10 loaded at at 46,26,19
[21:20:37] cqU-avod GAME: neutral 10 loaded at at 76,31,19
[21:20:37] cqU-avod GAME: neutral 6 loaded at at 11,101,19
[21:20:37] cqU-avod GAME: neutral 9 loaded at at 81,16,19
[21:20:37] cqU-avod GAME: neutral 10 loaded at at 56,51,19
[21:20:37] cqU-avod GAME: neutral 6 loaded at at 51,11,19
[21:20:37] cqU-avod GAME: neutral 9 loaded at at 51,66,19
[21:20:37] cqU-avod GAME: neutral 4 loaded at at 76,16,19
[21:20:37] cqU-avod GAME: neutral 6 loaded at at 81,66,19
[21:20:37] cqU-avod GAME: neutral 8 loaded at at 46,11,19
[21:20:37] cqU-avod GAME: neutral 6 loaded at at 81,71,19
[21:20:37] cqU-avod GAME: neutral 11 loaded at at 56,31,19
[21:20:49] cqU-avod GAME: Emitter deleted at (0,0,0)
[21:21:44] cqU-avod ASSET: ERROR: Invalid asset: /datum/asset/simple/craft:obj_item_stack_cable_coil.png:1
[21:21:49] cqU-avod ASSET: ERROR: Invalid asset: /datum/asset/simple/craft:obj_item_clothing_glasses_powered_meson.png:1
[21:21:50] cqU-avod ASSET: ERROR: Invalid asset: /datum/asset/simple/craft:obj_item_gun_projectile_boltgun_lever.png:1
[21:21:50] cqU-avod ASSET: ERROR: Invalid asset: /datum/asset/simple/craft:obj_item_gun_projectile_automatic_sts_rifle.png:1
[21:21:51] cqU-avod ASSET: ERROR: Invalid asset: /datum/asset/simple/craft:obj_item_modular_computer_laptop.png:1
[21:22:37] cqU-avod VOTE: Storyteller vote started by server.
[21:22:48] cqU-avod GAME: Entrance - 1 loaded at at 28,137,20
[21:22:49] cqU-avod GAME: crematorium loaded at at 15,137,20
[21:22:49] cqU-avod GAME: Escape_Pod_West-East loaded at at 2,137,20
[21:22:50] cqU-avod GAME: Hallway_4way loaded at at 2,128,20
[21:22:51] cqU-avod GAME: garden loaded at at 15,128,20
[21:22:52] cqU-avod GAME: Escape_Pod_West-East loaded at at 15,119,20
[21:22:53] cqU-avod GAME: autolathe_South-East loaded at at 2,119,20
[21:22:53] cqU-avod GAME: garden loaded at at 2,110,20
[21:22:54] cqU-avod GAME: Hallway_4way loaded at at 15,110,20
[21:22:54] cqU-avod GAME: crematorium loaded at at 28,110,20
[21:22:55] cqU-avod GAME: Escape_Pod_West-East loaded at at 41,110,20
[21:22:55] cqU-avod GAME: hallwayatmos_west-east loaded at at 54,110,20
[21:22:55] cqU-avod GAME: showers loaded at at 67,110,20
[21:22:56] cqU-avod GAME: checkpoint_horizontal loaded at at 80,110,20
[21:22:56] cqU-avod GAME: penitentiary loaded at at 93,110,20
[21:22:56] cqU-avod GAME: Escape_Pod_West-East loaded at at 106,110,20
[21:22:57] cqU-avod GAME: Hallway_4way loaded at at 119,110,20
[21:22:57] cqU-avod GAME: penitentiary loaded at at 132,110,20
[21:22:58] cqU-avod GAME: Escape_Pod_West-East loaded at at 145,110,20
[21:22:58] cqU-avod GAME: garden loaded at at 145,101,20
[21:22:59] cqU-avod GAME: garden loaded at at 132,101,20
[21:22:59] cqU-avod GAME: hallwayatmos_west-east loaded at at 119,101,20
[21:23:00] cqU-avod GAME: Escape_Pod_West-East loaded at at 106,101,20
[21:23:00] cqU-avod GAME: maintenance asteroid loaded at at 36,58,21
[21:23:01] cqU-avod GAME: AI core loaded at at 99,100,21
[21:23:01] cqU-avod MISC: a the gibber didn't find an input plate.
[21:23:01] cqU-avod GAME: xenostudy loaded at at 73,40,21
[21:23:02] cqU-avod GAME: dinner loaded at at 114,76,21
[21:23:02] cqU-avod GAME: medbay loaded at at 53,118,21
[21:23:03] cqU-avod GAME: pod bay loaded at at 103,40,21
[21:23:03] cqU-avod GAME: autolathe_South-East loaded at at 93,101,20
[21:23:04] cqU-avod GAME: Escape_Pod_West-East loaded at at 93,92,20
[21:23:04] cqU-avod GAME: showers loaded at at 106,92,20
[21:23:05] cqU-avod GAME: secure_storage_horizontal loaded at at 119,92,20
[21:23:05] cqU-avod GAME: secure_storage_horizontal loaded at at 132,92,20
[21:23:07] cqU-avod GAME: penitentiary loaded at at 145,92,20
[21:23:08] cqU-avod GAME: Escape_Pod_West-East loaded at at 158,92,20
[21:23:08] cqU-avod GAME: Escape_Pod_West-East loaded at at 158,83,20
[21:23:09] cqU-avod GAME: autolathe_South-East loaded at at 145,83,20
[21:23:09] cqU-avod GAME: checkpoint_vertical loaded at at 145,74,20
[21:23:10] cqU-avod GAME: Escape_Pod_West-East loaded at at 145,65,20
[21:23:10] cqU-avod GAME: crematorium loaded at at 132,65,20
[21:23:11] cqU-avod GAME: checkpoint_vertical loaded at at 132,56,20
[21:23:11] cqU-avod GAME: Escape_Pod_West-East loaded at at 132,47,20
[21:23:12] cqU-avod GAME: Hallway_4way loaded at at 119,47,20
[21:23:13] cqU-avod GAME: Hallway_4way loaded at at 119,38,20
[21:23:13] cqU-avod GAME: garden loaded at at 132,38,20
[21:23:13] cqU-avod GAME: hallwayatmos_west-east loaded at at 145,38,20
[21:23:14] cqU-avod GAME: Hallway_4way loaded at at 158,38,20
[21:23:14] cqU-avod GAME: garden loaded at at 171,38,20
[21:23:15] cqU-avod GAME: penitentiary loaded at at 184,38,20
[21:23:15] cqU-avod GAME: Escape_Pod_West-East loaded at at 197,38,20
[21:23:16] cqU-avod GAME: Escape_Pod_West-East loaded at at 197,29,20
[21:23:17] cqU-avod GAME: showers loaded at at 184,29,20
[21:23:18] cqU-avod GAME: Escape_Pod_West-East loaded at at 171,29,20
[21:23:19] cqU-avod GAME: Escape_Pod_West-East loaded at at 158,29,20
[21:23:22] cqU-avod GAME: crematorium loaded at at 145,29,20
[21:23:23] cqU-avod GAME: garden loaded at at 145,20,20
[21:23:23] cqU-avod GAME: Escape_Pod_West-East loaded at at 158,20,20
[21:23:24] cqU-avod GAME: crematorium loaded at at 171,20,20
[21:23:24] cqU-avod GAME: Escape_Pod_West-East loaded at at 184,20,20
[21:23:24] cqU-avod GAME: crematorium loaded at at 197,20,20
[21:23:25] cqU-avod GAME: Escape_Pod_West-East loaded at at 197,11,20
[21:23:25] cqU-avod GAME: Hallway_4way loaded at at 184,11,20
[21:23:26] cqU-avod GAME: Escape_Pod_West-East loaded at at 171,11,20
[21:23:26] cqU-avod GAME: Hallway_4way loaded at at 158,11,20
[21:23:27] cqU-avod GAME: crematorium loaded at at 145,11,20
[21:23:27] cqU-avod GAME: Escape_Pod_West-East loaded at at 132,11,20
[21:23:27] cqU-avod GAME: crematorium loaded at at 119,11,20
[21:23:28] cqU-avod GAME: garden loaded at at 106,11,20
[21:23:28] cqU-avod GAME: showers loaded at at 93,11,20
[21:23:28] cqU-avod GAME: crematorium loaded at at 80,11,20
[21:23:29] cqU-avod GAME: Hallway_4way loaded at at 67,11,20
[21:23:29] cqU-avod GAME: hallwayatmos_west-east loaded at at 54,11,20
[21:23:30] cqU-avod GAME: secure_storage_horizontal loaded at at 41,11,20
[21:23:30] cqU-avod GAME: Hallway_4way loaded at at 28,11,20
[21:23:31] cqU-avod GAME: Hallway_4way loaded at at 15,11,20
[21:23:31] cqU-avod GAME: autolathe_South-East loaded at at 2,11,20
[21:23:32] cqU-avod GAME: Escape_Pod_West-East loaded at at 2,2,20
[21:23:32] cqU-avod GAME: Exit - 1 loaded at at 15,2,20
[21:23:39] cqU-avod DEBUG: Runtime in inspiration_component.dm,29: undefined variable /obj/item/tool/knife/dagger/ceremonial/var/perk <A HREF='?_src_=holder;viewruntime=[0x2109c8f1]'>[view]</A>
[21:23:57] cqU-avod GAME: armory loaded at at 80,2,20
[21:23:59] cqU-avod GAME: armory_secure loaded at at 28,128,20
[21:24:01] cqU-avod GAME: surgery loaded at at 132,2,20
