

Starting up. (ID: cqU-bb6q) 01:49.52
---------------------
[01:49:52] cqU-bb6q MISC: Saved storyteller is 'guide'
[01:49:52] cqU-bb6q ADMIN: Loading jobban_rank
[01:49:52] cqU-bb6q ADMIN: jobban_keylist was empty
[01:49:52] cqU-bb6q ADMIN: Loading Banlist
[01:51:41] cqU-bb6q ADMIN: Ryker Zadovsky try find_inv_position a 14, but not have that slot!
[01:51:41] cqU-bb6q ADMIN: Ryker Zadovsky try find_inv_position a 11, but not have that slot!
[01:51:41] cqU-bb6q ADMIN: Ryker Zadovsky try find_inv_position a 13, but not have that slot!
[01:51:41] cqU-bb6q ADMIN: Ryker Zadovsky try find_inv_position a 12, but not have that slot!
[01:51:42] cqU-bb6q ADMIN: Lucas Bousum try find_inv_position a 14, but not have that slot!
[01:51:42] cqU-bb6q ADMIN: Lucas Bousum try find_inv_position a 11, but not have that slot!
[01:51:42] cqU-bb6q ADMIN: Lucas Bousum try find_inv_position a 13, but not have that slot!
[01:51:42] cqU-bb6q ADMIN: Lucas Bousum try find_inv_position a 12, but not have that slot!
[01:51:42] cqU-bb6q ADMIN: Alberto Snyder try find_inv_position a 14, but not have that slot!
[01:51:42] cqU-bb6q ADMIN: Alberto Snyder try find_inv_position a 11, but not have that slot!
[01:51:42] cqU-bb6q ADMIN: Alberto Snyder try find_inv_position a 13, but not have that slot!
[01:51:42] cqU-bb6q ADMIN: Alberto Snyder try find_inv_position a 12, but not have that slot!
[01:51:42] cqU-bb6q ADMIN: Terrell Basinger try find_inv_position a 14, but not have that slot!
[01:51:42] cqU-bb6q ADMIN: Terrell Basinger try find_inv_position a 11, but not have that slot!
[01:51:42] cqU-bb6q ADMIN: Terrell Basinger try find_inv_position a 13, but not have that slot!
[01:51:42] cqU-bb6q ADMIN: Terrell Basinger try find_inv_position a 12, but not have that slot!
[01:51:42] cqU-bb6q EMOTE: Nikolas Clarke/ : screams!
[01:51:42] cqU-bb6q EMOTE: Nikolas Clarke/ : <B>Nikolas Clarke</B> screams!
[01:51:42] cqU-bb6q ADMIN: Nikolas Clarke try find_inv_position a 14, but not have that slot!
[01:51:42] cqU-bb6q ADMIN: Nikolas Clarke try find_inv_position a 11, but not have that slot!
[01:51:42] cqU-bb6q ADMIN: Nikolas Clarke try find_inv_position a 13, but not have that slot!
[01:51:42] cqU-bb6q ADMIN: Nikolas Clarke try find_inv_position a 12, but not have that slot!
[01:51:42] cqU-bb6q ADMIN: Karson Hawker try find_inv_position a 14, but not have that slot!
[01:51:42] cqU-bb6q ADMIN: Karson Hawker try find_inv_position a 11, but not have that slot!
[01:51:42] cqU-bb6q ADMIN: Karson Hawker try find_inv_position a 13, but not have that slot!
[01:51:42] cqU-bb6q ADMIN: Karson Hawker try find_inv_position a 12, but not have that slot!
[01:54:04] cqU-bb6q GAME: neutral 3 loaded at at 11,71,19
[01:54:04] cqU-bb6q GAME: neutral 2 loaded at at 76,51,19
[01:54:05] cqU-bb6q GAME: neutral 2 loaded at at 51,41,19
[01:54:05] cqU-bb6q GAME: neutral 3 loaded at at 16,41,19
[01:54:05] cqU-bb6q GAME: neutral 9 loaded at at 46,106,19
[01:54:05] cqU-bb6q GAME: neutral 3 loaded at at 61,106,19
[01:54:05] cqU-bb6q GAME: neutral 10 loaded at at 101,36,19
[01:54:05] cqU-bb6q GAME: neutral 3 loaded at at 51,106,19
[01:54:05] cqU-bb6q GAME: neutral 4 loaded at at 56,26,19
[01:54:06] cqU-bb6q GAME: neutral 9 loaded at at 106,36,19
[01:54:06] cqU-bb6q GAME: neutral 9 loaded at at 81,81,19
[01:54:06] cqU-bb6q GAME: neutral 6 loaded at at 26,66,19
[01:54:06] cqU-bb6q GAME: neutral 1 loaded at at 86,101,19
[01:54:06] cqU-bb6q GAME: neutral 1 loaded at at 101,96,19
[01:54:06] cqU-bb6q GAME: neutral 7 loaded at at 51,66,19
[01:54:06] cqU-bb6q GAME: neutral 11 loaded at at 61,11,19
[01:54:06] cqU-bb6q GAME: neutral 8 loaded at at 106,96,19
[01:54:06] cqU-bb6q GAME: neutral 2 loaded at at 76,91,19
[01:54:06] cqU-bb6q GAME: neutral 9 loaded at at 71,106,19
[01:54:06] cqU-bb6q GAME: neutral 6 loaded at at 36,81,19
[01:54:06] cqU-bb6q GAME: neutral 5 loaded at at 36,106,19
[01:54:06] cqU-bb6q GAME: neutral 7 loaded at at 96,36,19
[01:54:06] cqU-bb6q GAME: neutral 5 loaded at at 31,106,19
[01:54:06] cqU-bb6q GAME: neutral 7 loaded at at 96,11,19
[01:54:06] cqU-bb6q GAME: neutral 4 loaded at at 106,66,19
[01:54:06] cqU-bb6q GAME: neutral 5 loaded at at 26,96,19
[01:54:06] cqU-bb6q GAME: neutral 4 loaded at at 101,66,19
[01:54:06] cqU-bb6q GAME: neutral 7 loaded at at 46,51,19
[01:54:06] cqU-bb6q GAME: neutral 5 loaded at at 31,21,19
[01:54:06] cqU-bb6q GAME: neutral 8 loaded at at 66,61,19
[01:54:06] cqU-bb6q GAME: neutral 7 loaded at at 81,101,19
[01:54:06] cqU-bb6q GAME: neutral 6 loaded at at 26,26,19
[01:54:06] cqU-bb6q GAME: neutral 11 loaded at at 36,101,19
[01:54:06] cqU-bb6q GAME: neutral 8 loaded at at 96,91,19
[01:54:06] cqU-bb6q GAME: neutral 1 loaded at at 26,36,19
[01:54:06] cqU-bb6q GAME: neutral 8 loaded at at 91,96,19
[01:54:06] cqU-bb6q GAME: neutral 9 loaded at at 71,76,19
[01:54:06] cqU-bb6q GAME: neutral 10 loaded at at 61,21,19
[01:54:06] cqU-bb6q GAME: neutral 1 loaded at at 41,106,19
[01:54:19] cqU-bb6q GAME: Emitter deleted at (0,0,0)
[01:55:14] cqU-bb6q ASSET: ERROR: Invalid asset: /datum/asset/simple/craft:obj_item_stack_cable_coil.png:1
[01:55:19] cqU-bb6q ASSET: ERROR: Invalid asset: /datum/asset/simple/craft:obj_item_clothing_glasses_powered_meson.png:1
[01:55:19] cqU-bb6q ASSET: ERROR: Invalid asset: /datum/asset/simple/craft:obj_item_gun_projectile_boltgun_lever.png:1
[01:55:19] cqU-bb6q ASSET: ERROR: Invalid asset: /datum/asset/simple/craft:obj_item_gun_projectile_automatic_sts_rifle.png:1
[01:55:21] cqU-bb6q ASSET: ERROR: Invalid asset: /datum/asset/simple/craft:obj_item_modular_computer_laptop.png:1
[01:56:15] cqU-bb6q GAME: Lab loaded at at 108,101,21
[01:56:15] cqU-bb6q MISC: a the gibber didn't find an input plate.
[01:56:15] cqU-bb6q GAME: xenostudy loaded at at 44,97,21
[01:56:16] cqU-bb6q GAME: maintenance asteroid loaded at at 57,45,21
[01:56:16] cqU-bb6q GAME: vault loaded at at 99,69,21
[01:56:17] cqU-bb6q MISC: a the gibber didn't find an input plate.
[01:56:17] cqU-bb6q GAME: xenostudy loaded at at 89,45,21
[01:56:17] cqU-bb6q GAME: lab5 loaded at at 67,76,21
[01:56:18] cqU-bb6q GAME: Entrance - 1 loaded at at 106,137,20
[01:56:18] cqU-bb6q GAME: hallwayatmos_west-east loaded at at 119,137,20
[01:56:18] cqU-bb6q GAME: Escape_Pod_West-East loaded at at 132,137,20
[01:56:19] cqU-bb6q GAME: crematorium loaded at at 145,137,20
[01:56:19] cqU-bb6q GAME: Escape_Pod_West-East loaded at at 158,137,20
[01:56:22] cqU-bb6q GAME: Escape_Pod_West-East loaded at at 171,137,20
[01:56:22] cqU-bb6q GAME: Escape_Pod_West-East loaded at at 171,128,20
[01:56:22] cqU-bb6q GAME: crematorium loaded at at 184,128,20
[01:56:23] cqU-bb6q GAME: Escape_Pod_West-East loaded at at 197,128,20
[01:56:23] cqU-bb6q GAME: garden loaded at at 197,119,20
[01:56:23] cqU-bb6q GAME: garden loaded at at 184,119,20
[01:56:24] cqU-bb6q GAME: penitentiary loaded at at 171,119,20
[01:56:24] cqU-bb6q GAME: garden loaded at at 158,119,20
[01:56:25] cqU-bb6q GAME: Escape_Pod_West-East loaded at at 158,110,20
[01:56:26] cqU-bb6q GAME: Hallway_4way loaded at at 145,110,20
[01:56:26] cqU-bb6q GAME: showers loaded at at 132,110,20
[01:56:26] cqU-bb6q GAME: showers loaded at at 119,110,20
[01:56:27] cqU-bb6q GAME: secure_storage_horizontal loaded at at 106,110,20
[01:56:27] cqU-bb6q GAME: Escape_Pod_West-East loaded at at 93,110,20
[01:56:27] cqU-bb6q GAME: secure_storage_horizontal loaded at at 80,110,20
[01:56:28] cqU-bb6q GAME: Hallway_4way loaded at at 67,110,20
[01:56:28] cqU-bb6q GAME: Escape_Pod_West-East loaded at at 54,110,20
[01:56:29] cqU-bb6q GAME: crematorium loaded at at 41,110,20
[01:56:29] cqU-bb6q GAME: secure_storage_horizontal loaded at at 28,110,20
[01:56:29] cqU-bb6q GAME: Hallway_4way loaded at at 15,110,20
[01:56:30] cqU-bb6q GAME: crematorium loaded at at 2,110,20
[01:56:31] cqU-bb6q GAME: garden loaded at at 2,101,20
[01:56:32] cqU-bb6q GAME: secure_storage_horizontal loaded at at 15,101,20
[01:56:32] cqU-bb6q GAME: crematorium loaded at at 28,101,20
[01:56:33] cqU-bb6q GAME: crematorium loaded at at 41,101,20
[01:56:34] cqU-bb6q GAME: garden loaded at at 54,101,20
[01:56:35] cqU-bb6q GAME: hallway_storage loaded at at 54,92,20
[01:56:36] cqU-bb6q GAME: Escape_Pod_West-East loaded at at 54,83,20
[01:56:36] cqU-bb6q GAME: crematorium loaded at at 67,83,20
[01:56:37] cqU-bb6q GAME: Hallway_4way loaded at at 80,83,20
[01:56:37] cqU-bb6q GAME: Escape_Pod_West-East loaded at at 93,83,20
[01:56:38] cqU-bb6q GAME: crematorium loaded at at 106,83,20
[01:56:39] cqU-bb6q GAME: Escape_Pod_West-East loaded at at 106,74,20
[01:56:40] cqU-bb6q GAME: garden loaded at at 93,74,20
[01:56:40] cqU-bb6q GAME: hallwayatmos_west-east loaded at at 80,74,20
[01:56:40] cqU-bb6q GAME: hallwayatmos_west-east loaded at at 67,74,20
[01:56:41] cqU-bb6q GAME: garden loaded at at 54,74,20
[01:56:42] cqU-bb6q GAME: Escape_Pod_West-East loaded at at 54,65,20
[01:56:43] cqU-bb6q GAME: crematorium loaded at at 67,65,20
[01:56:44] cqU-bb6q GAME: Hallway_4way loaded at at 67,56,20
[01:56:44] cqU-bb6q GAME: autolathe_South-East loaded at at 54,56,20
[01:56:45] cqU-bb6q GAME: garden loaded at at 54,47,20
[01:56:45] cqU-bb6q GAME: checkpoint_horizontal loaded at at 41,47,20
[01:56:46] cqU-bb6q GAME: penitentiary loaded at at 28,47,20
