

Starting up. (ID: crE-aiJo) 19:55.15
---------------------
[19:55:15] crE-aiJo MISC: Saved storyteller is 'guide'
[19:55:15] crE-aiJo ADMIN: Loading jobban_rank
[19:55:15] crE-aiJo ADMIN: jobban_keylist was empty
[19:55:16] crE-aiJo ADMIN: Loading Banlist
[19:55:56] crE-aiJo ACCESS: Login: RiotScopez/() from 146.115.147.185-1871707424 || BYOND v514.1585
[19:55:56] crE-aiJo ACCESS: Login: RiotScopez/(/(RiotScopez)) from 146.115.147.185-1871707424 || BYOND v514
[19:55:57] crE-aiJo DEBUG: Could not find style "ErisStyle" for /mob/new_player.
[19:55:57] crE-aiJo ACCESS: Login: RiotScopez/(/(RiotScopez)) from 146.115.147.185-1871707424 || BYOND v514
[19:56:07] crE-aiJo ADMIN: RiotScopez/(/(RiotScopez)) delayed the game.
[19:57:03] crE-aiJo ADMIN: EVENT *null* has loaded a character.
[19:57:11] crE-aiJo ADMIN: Jaxson Clewett try find_inv_position a 14, but not have that slot!
[19:57:11] crE-aiJo ADMIN: Jaxson Clewett try find_inv_position a 11, but not have that slot!
[19:57:11] crE-aiJo ADMIN: Jaxson Clewett try find_inv_position a 13, but not have that slot!
[19:57:11] crE-aiJo ADMIN: Jaxson Clewett try find_inv_position a 12, but not have that slot!
[19:57:11] crE-aiJo ADMIN: Gunner Overstreet try find_inv_position a 14, but not have that slot!
[19:57:11] crE-aiJo ADMIN: Gunner Overstreet try find_inv_position a 11, but not have that slot!
[19:57:11] crE-aiJo ADMIN: Gunner Overstreet try find_inv_position a 13, but not have that slot!
[19:57:11] crE-aiJo ADMIN: Gunner Overstreet try find_inv_position a 12, but not have that slot!
[19:57:12] crE-aiJo ADMIN: Alan Byers try find_inv_position a 14, but not have that slot!
[19:57:12] crE-aiJo ADMIN: Alan Byers try find_inv_position a 11, but not have that slot!
[19:57:12] crE-aiJo ADMIN: Alan Byers try find_inv_position a 13, but not have that slot!
[19:57:12] crE-aiJo ADMIN: Alan Byers try find_inv_position a 12, but not have that slot!
[19:57:12] crE-aiJo ADMIN: Leland Stall try find_inv_position a 14, but not have that slot!
[19:57:12] crE-aiJo ADMIN: Leland Stall try find_inv_position a 11, but not have that slot!
[19:57:12] crE-aiJo ADMIN: Leland Stall try find_inv_position a 13, but not have that slot!
[19:57:12] crE-aiJo ADMIN: Leland Stall try find_inv_position a 12, but not have that slot!
[19:57:12] crE-aiJo ADMIN: Sawyer Simpson try find_inv_position a 14, but not have that slot!
[19:57:12] crE-aiJo ADMIN: Sawyer Simpson try find_inv_position a 11, but not have that slot!
[19:57:12] crE-aiJo ADMIN: Sawyer Simpson try find_inv_position a 13, but not have that slot!
[19:57:12] crE-aiJo ADMIN: Sawyer Simpson try find_inv_position a 12, but not have that slot!
[19:57:12] crE-aiJo ADMIN: Christopher Wheeler try find_inv_position a 14, but not have that slot!
[19:57:12] crE-aiJo ADMIN: Christopher Wheeler try find_inv_position a 11, but not have that slot!
[19:57:12] crE-aiJo ADMIN: Christopher Wheeler try find_inv_position a 13, but not have that slot!
[19:57:12] crE-aiJo ADMIN: Christopher Wheeler try find_inv_position a 12, but not have that slot!
[19:59:39] crE-aiJo GAME: neutral 2 loaded at at 51,36,19
[19:59:40] crE-aiJo GAME: neutral 2 loaded at at 76,66,19
[19:59:40] crE-aiJo GAME: neutral 2 loaded at at 16,81,19
[19:59:41] crE-aiJo GAME: neutral 2 loaded at at 41,76,19
[19:59:41] crE-aiJo GAME: neutral 4 loaded at at 106,46,19
[19:59:41] crE-aiJo GAME: neutral 11 loaded at at 51,96,19
[19:59:41] crE-aiJo GAME: neutral 7 loaded at at 106,71,19
[19:59:41] crE-aiJo GAME: neutral 2 loaded at at 21,106,19
[19:59:41] crE-aiJo GAME: neutral 7 loaded at at 81,106,19
[19:59:41] crE-aiJo GAME: neutral 2 loaded at at 66,61,19
[19:59:41] crE-aiJo GAME: neutral 7 loaded at at 51,16,19
[19:59:41] crE-aiJo GAME: neutral 7 loaded at at 81,46,19
[19:59:41] crE-aiJo GAME: neutral 2 loaded at at 21,16,19
[19:59:41] crE-aiJo GAME: neutral 7 loaded at at 81,96,19
[19:59:41] crE-aiJo GAME: neutral 7 loaded at at 101,86,19
[19:59:41] crE-aiJo GAME: neutral 1 loaded at at 11,41,19
[19:59:41] crE-aiJo GAME: neutral 6 loaded at at 11,76,19
[19:59:41] crE-aiJo GAME: neutral 9 loaded at at 71,71,19
[19:59:41] crE-aiJo GAME: neutral 5 loaded at at 101,81,19
[19:59:41] crE-aiJo GAME: neutral 10 loaded at at 91,101,19
[19:59:41] crE-aiJo GAME: neutral 6 loaded at at 11,61,19
[19:59:41] crE-aiJo GAME: neutral 6 loaded at at 11,81,19
[19:59:41] crE-aiJo GAME: neutral 2 loaded at at 36,46,19
[19:59:41] crE-aiJo GAME: neutral 7 loaded at at 11,16,19
[19:59:41] crE-aiJo GAME: neutral 7 loaded at at 51,101,19
[19:59:41] crE-aiJo GAME: neutral 8 loaded at at 61,16,19
[19:59:41] crE-aiJo GAME: neutral 3 loaded at at 76,16,19
[19:59:41] crE-aiJo GAME: neutral 2 loaded at at 96,101,19
[19:59:41] crE-aiJo GAME: neutral 2 loaded at at 101,76,19
[19:59:42] crE-aiJo GAME: neutral 4 loaded at at 56,96,19
[19:59:42] crE-aiJo GAME: neutral 8 loaded at at 66,11,19
[19:59:42] crE-aiJo GAME: neutral 1 loaded at at 26,21,19
[19:59:42] crE-aiJo GAME: neutral 7 loaded at at 61,61,19
[19:59:42] crE-aiJo GAME: neutral 1 loaded at at 41,66,19
[19:59:42] crE-aiJo GAME: neutral 7 loaded at at 96,101,19
[19:59:42] crE-aiJo GAME: neutral 4 loaded at at 106,86,19
[19:59:42] crE-aiJo GAME: neutral 11 loaded at at 21,11,19
[19:59:42] crE-aiJo GAME: neutral 7 loaded at at 71,26,19
[19:59:42] crE-aiJo GAME: neutral 10 loaded at at 41,76,19
[19:59:55] crE-aiJo GAME: Emitter deleted at (0,0,0)
[20:01:10] crE-aiJo ASSET: ERROR: Invalid asset: /datum/asset/simple/craft:obj_item_stack_cable_coil.png:1
[20:01:14] crE-aiJo ASSET: ERROR: Invalid asset: /datum/asset/simple/craft:obj_item_clothing_glasses_powered_meson.png:1
