

Starting up. (ID: cr6-a0fd) 01:31.41
---------------------
[01:31:41] cr6-a0fd MISC: Saved storyteller is 'healer'
[01:31:41] cr6-a0fd ADMIN: Loading jobban_rank
[01:31:41] cr6-a0fd ADMIN: jobban_keylist was empty
[01:31:41] cr6-a0fd ADMIN: Loading Banlist
[01:33:31] cr6-a0fd ADMIN: Godwin Harrison try find_inv_position a 14, but not have that slot!
[01:33:31] cr6-a0fd ADMIN: Godwin Harrison try find_inv_position a 11, but not have that slot!
[01:33:31] cr6-a0fd ADMIN: Godwin Harrison try find_inv_position a 13, but not have that slot!
[01:33:31] cr6-a0fd ADMIN: Godwin Harrison try find_inv_position a 12, but not have that slot!
[01:33:31] cr6-a0fd EMOTE: Jared Edwards/ : screams!
[01:33:31] cr6-a0fd EMOTE: Jared Edwards/ : <B>Jared Edwards</B> screams!
[01:33:31] cr6-a0fd EMOTE: Jared Edwards/ : screams!
[01:33:31] cr6-a0fd EMOTE: Jared Edwards/ : <B>Jared Edwards</B> screams!
[01:33:31] cr6-a0fd ADMIN: Jared Edwards try find_inv_position a 14, but not have that slot!
[01:33:31] cr6-a0fd ADMIN: Jared Edwards try find_inv_position a 11, but not have that slot!
[01:33:31] cr6-a0fd ADMIN: Jared Edwards try find_inv_position a 13, but not have that slot!
[01:33:31] cr6-a0fd ADMIN: Jared Edwards try find_inv_position a 12, but not have that slot!
[01:33:31] cr6-a0fd ADMIN: Maddox Kuster try find_inv_position a 14, but not have that slot!
[01:33:31] cr6-a0fd ADMIN: Maddox Kuster try find_inv_position a 11, but not have that slot!
[01:33:31] cr6-a0fd ADMIN: Maddox Kuster try find_inv_position a 13, but not have that slot!
[01:33:31] cr6-a0fd ADMIN: Maddox Kuster try find_inv_position a 12, but not have that slot!
[01:33:32] cr6-a0fd ADMIN: Jonathon Martins try find_inv_position a 14, but not have that slot!
[01:33:32] cr6-a0fd ADMIN: Jonathon Martins try find_inv_position a 11, but not have that slot!
[01:33:32] cr6-a0fd ADMIN: Jonathon Martins try find_inv_position a 13, but not have that slot!
[01:33:32] cr6-a0fd ADMIN: Jonathon Martins try find_inv_position a 12, but not have that slot!
[01:33:32] cr6-a0fd ADMIN: Isaias Boyer try find_inv_position a 14, but not have that slot!
[01:33:32] cr6-a0fd ADMIN: Isaias Boyer try find_inv_position a 11, but not have that slot!
[01:33:32] cr6-a0fd ADMIN: Isaias Boyer try find_inv_position a 13, but not have that slot!
[01:33:32] cr6-a0fd ADMIN: Isaias Boyer try find_inv_position a 12, but not have that slot!
[01:33:32] cr6-a0fd ADMIN: Mario Kiefer try find_inv_position a 14, but not have that slot!
[01:33:32] cr6-a0fd ADMIN: Mario Kiefer try find_inv_position a 11, but not have that slot!
[01:33:32] cr6-a0fd ADMIN: Mario Kiefer try find_inv_position a 13, but not have that slot!
[01:33:32] cr6-a0fd ADMIN: Mario Kiefer try find_inv_position a 12, but not have that slot!
[01:35:59] cr6-a0fd GAME: neutral 2 loaded at at 56,71,19
[01:36:00] cr6-a0fd GAME: neutral 2 loaded at at 76,26,19
[01:36:00] cr6-a0fd GAME: neutral 2 loaded at at 66,26,19
[01:36:01] cr6-a0fd GAME: neutral 3 loaded at at 41,16,19
[01:36:01] cr6-a0fd GAME: neutral 10 loaded at at 101,51,19
[01:36:01] cr6-a0fd GAME: neutral 4 loaded at at 106,101,19
[01:36:01] cr6-a0fd GAME: neutral 4 loaded at at 81,11,19
[01:36:01] cr6-a0fd GAME: neutral 5 loaded at at 51,56,19
[01:36:01] cr6-a0fd GAME: neutral 3 loaded at at 26,46,19
[01:36:01] cr6-a0fd GAME: neutral 7 loaded at at 56,101,19
[01:36:01] cr6-a0fd GAME: neutral 8 loaded at at 36,16,19
[01:36:01] cr6-a0fd GAME: neutral 8 loaded at at 21,91,19
[01:36:01] cr6-a0fd GAME: neutral 5 loaded at at 106,41,19
[01:36:01] cr6-a0fd GAME: neutral 4 loaded at at 46,91,19
[01:36:01] cr6-a0fd GAME: neutral 7 loaded at at 51,76,19
[01:36:01] cr6-a0fd GAME: neutral 8 loaded at at 76,106,19
[01:36:01] cr6-a0fd GAME: neutral 9 loaded at at 81,51,19
[01:36:01] cr6-a0fd GAME: neutral 11 loaded at at 81,86,19
[01:36:01] cr6-a0fd GAME: neutral 5 loaded at at 66,101,19
[01:36:01] cr6-a0fd GAME: neutral 1 loaded at at 106,11,19
[01:36:01] cr6-a0fd GAME: neutral 7 loaded at at 61,41,19
[01:36:01] cr6-a0fd GAME: neutral 11 loaded at at 86,76,19
[01:36:02] cr6-a0fd GAME: neutral 1 loaded at at 91,11,19
[01:36:02] cr6-a0fd GAME: neutral 9 loaded at at 66,26,19
[01:36:02] cr6-a0fd GAME: neutral 6 loaded at at 96,96,19
[01:36:02] cr6-a0fd GAME: neutral 11 loaded at at 16,11,19
[01:36:02] cr6-a0fd GAME: neutral 6 loaded at at 16,71,19
[01:36:02] cr6-a0fd GAME: neutral 7 loaded at at 71,11,19
[01:36:02] cr6-a0fd GAME: neutral 11 loaded at at 101,96,19
[01:36:02] cr6-a0fd GAME: neutral 6 loaded at at 21,16,19
[01:36:02] cr6-a0fd GAME: neutral 8 loaded at at 31,46,19
[01:36:02] cr6-a0fd GAME: neutral 8 loaded at at 51,11,19
[01:36:02] cr6-a0fd GAME: neutral 8 loaded at at 96,91,19
[01:36:02] cr6-a0fd GAME: neutral 1 loaded at at 106,106,19
[01:36:02] cr6-a0fd GAME: neutral 11 loaded at at 21,31,19
[01:36:02] cr6-a0fd GAME: neutral 3 loaded at at 56,36,19
[01:36:02] cr6-a0fd GAME: neutral 8 loaded at at 66,76,19
[01:36:02] cr6-a0fd GAME: neutral 9 loaded at at 56,16,19
[01:36:02] cr6-a0fd GAME: neutral 9 loaded at at 66,16,19
[01:36:15] cr6-a0fd GAME: Emitter deleted at (0,0,0)
[01:37:19] cr6-a0fd ASSET: ERROR: Invalid asset: /datum/asset/simple/craft:obj_item_stack_cable_coil.png:1
[01:37:24] cr6-a0fd ASSET: ERROR: Invalid asset: /datum/asset/simple/craft:obj_item_clothing_glasses_powered_meson.png:1
[01:37:25] cr6-a0fd ASSET: ERROR: Invalid asset: /datum/asset/simple/craft:obj_item_gun_projectile_boltgun_lever.png:1
[01:37:25] cr6-a0fd ASSET: ERROR: Invalid asset: /datum/asset/simple/craft:obj_item_gun_projectile_automatic_sts_rifle.png:1
[01:37:27] cr6-a0fd ASSET: ERROR: Invalid asset: /datum/asset/simple/craft:obj_item_modular_computer_laptop.png:1
[01:38:24] cr6-a0fd GAME: Entrance - 1 loaded at at 132,137,20
[01:38:24] cr6-a0fd GAME: Hallway_4way loaded at at 145,137,20
[01:38:24] cr6-a0fd GAME: penitentiary loaded at at 158,137,20
[01:38:25] cr6-a0fd GAME: secure_storage_horizontal loaded at at 171,137,20
[01:38:25] cr6-a0fd GAME: hallwayatmos_west-east loaded at at 184,137,20
[01:38:26] cr6-a0fd GAME: Hallway_4way loaded at at 197,137,20
[01:38:26] cr6-a0fd GAME: garden loaded at at 197,128,20
[01:38:27] cr6-a0fd GAME: secure_storage_horizontal loaded at at 184,128,20
[01:38:27] cr6-a0fd GAME: secure_storage_horizontal loaded at at 171,128,20
[01:38:28] cr6-a0fd GAME: autolathe_South-East loaded at at 158,128,20
[01:38:28] cr6-a0fd GAME: Hallway_4way loaded at at 158,119,20
[01:38:28] cr6-a0fd GAME: autolathe_South-East loaded at at 145,119,20
[01:38:29] cr6-a0fd GAME: Hallway_4way loaded at at 145,110,20
[01:38:29] cr6-a0fd GAME: crematorium loaded at at 158,110,20
[01:38:29] cr6-a0fd GAME: Escape_Pod_West-East loaded at at 171,110,20
[01:38:30] cr6-a0fd GAME: secure_storage_horizontal loaded at at 184,110,20
[01:38:30] cr6-a0fd GAME: crematorium loaded at at 197,110,20
[01:38:31] cr6-a0fd GAME: Hallway_4way loaded at at 197,101,20
[01:38:31] cr6-a0fd GAME: garden loaded at at 184,101,20
[01:38:31] cr6-a0fd GAME: Escape_Pod_West-East loaded at at 171,101,20
[01:38:32] cr6-a0fd GAME: garden loaded at at 158,101,20
[01:38:32] cr6-a0fd GAME: garden loaded at at 145,101,20
[01:38:33] cr6-a0fd GAME: garden loaded at at 132,101,20
[01:38:33] cr6-a0fd GAME: crematorium loaded at at 119,101,20
[01:38:33] cr6-a0fd GAME: hallwayatmos_west-east loaded at at 106,101,20
[01:38:34] cr6-a0fd GAME: checkpoint_horizontal loaded at at 93,101,20
[01:38:34] cr6-a0fd GAME: checkpoint_horizontal loaded at at 80,101,20
[01:38:34] cr6-a0fd GAME: hallwayatmos_west-east loaded at at 67,101,20
[01:38:35] cr6-a0fd GAME: crematorium loaded at at 54,101,20
[01:38:35] cr6-a0fd GAME: checkpoint_horizontal loaded at at 41,101,20
[01:38:35] cr6-a0fd GAME: crematorium loaded at at 28,101,20
[01:38:36] cr6-a0fd GAME: crematorium loaded at at 15,101,20
[01:38:36] cr6-a0fd GAME: crematorium loaded at at 2,101,20
[01:38:37] cr6-a0fd GAME: garden loaded at at 2,92,20
[01:38:37] cr6-a0fd GAME: Hallway_4way loaded at at 15,92,20
[01:38:37] cr6-a0fd GAME: Hallway_4way loaded at at 28,92,20
[01:38:38] cr6-a0fd GAME: penitentiary loaded at at 41,92,20
[01:38:38] cr6-a0fd GAME: Escape_Pod_West-East loaded at at 54,92,20
[01:38:39] cr6-a0fd GAME: crematorium loaded at at 67,92,20
[01:38:39] cr6-a0fd GAME: Escape_Pod_West-East loaded at at 67,83,20
[01:38:40] cr6-a0fd GAME: checkpoint_horizontal loaded at at 54,83,20
[01:38:40] cr6-a0fd GAME: garden loaded at at 41,83,20
[01:38:40] cr6-a0fd GAME: Hallway_4way loaded at at 28,83,20
[01:38:41] cr6-a0fd GAME: Hallway_4way loaded at at 28,74,20
[01:38:41] cr6-a0fd GAME: hallwayatmos_west-east loaded at at 41,74,20
[01:38:42] cr6-a0fd GAME: secure_storage_horizontal loaded at at 54,74,20
[01:38:42] cr6-a0fd GAME: crematorium loaded at at 67,74,20
[01:38:43] cr6-a0fd GAME: crematorium loaded at at 80,74,20
[01:38:43] cr6-a0fd GAME: Escape_Pod_West-East loaded at at 93,74,20
[01:38:43] cr6-a0fd GAME: garden loaded at at 106,74,20
[01:38:44] cr6-a0fd GAME: Escape_Pod_West-East loaded at at 106,65,20
[01:38:44] cr6-a0fd GAME: checkpoint_horizontal loaded at at 119,65,20
[01:38:44] cr6-a0fd GAME: garden loaded at at 132,65,20
[01:38:45] cr6-a0fd GAME: Escape_Pod_West-East loaded at at 145,65,20
[01:38:45] cr6-a0fd GAME: secure_storage_horizontal loaded at at 158,65,20
[01:38:46] cr6-a0fd GAME: Escape_Pod_West-East loaded at at 171,65,20
