

Starting up. (ID: cs8-aTbp) 00:49.00
---------------------
[00:49:01] cs8-aTbp MISC: Saved storyteller is 'healer'
[00:49:03] cs8-aTbp ADMIN: Loading jobban_rank
[00:49:03] cs8-aTbp ADMIN: jobban_keylist was empty
[00:49:03] cs8-aTbp ADMIN: Loading Banlist
[00:50:38] cs8-aTbp ACCESS: Login: RiotScopez/() from 146.115.147.185-1871707424 || BYOND v514.1582
[00:50:49] cs8-aTbp ACCESS: Login: RiotScopez/(/(RiotScopez)) from 146.115.147.185-1871707424 || BYOND v514
[00:50:50] cs8-aTbp DEBUG: Could not find style "ErisStyle" for /mob/new_player.
[00:50:50] cs8-aTbp ACCESS: Login: RiotScopez/(/(RiotScopez)) from 146.115.147.185-1871707424 || BYOND v514
[00:51:35] cs8-aTbp ADMIN: EVENT *null* has loaded a character.
[00:51:46] cs8-aTbp ADMIN: Jonah Roberts try find_inv_position a 14, but not have that slot!
[00:51:46] cs8-aTbp ADMIN: Jonah Roberts try find_inv_position a 11, but not have that slot!
[00:51:46] cs8-aTbp ADMIN: Jonah Roberts try find_inv_position a 13, but not have that slot!
[00:51:46] cs8-aTbp ADMIN: Jonah Roberts try find_inv_position a 12, but not have that slot!
[00:51:52] cs8-aTbp ADMIN: Alfred Kiefer try find_inv_position a 14, but not have that slot!
[00:51:52] cs8-aTbp ADMIN: Alfred Kiefer try find_inv_position a 11, but not have that slot!
[00:51:52] cs8-aTbp ADMIN: Alfred Kiefer try find_inv_position a 13, but not have that slot!
[00:51:52] cs8-aTbp ADMIN: Alfred Kiefer try find_inv_position a 12, but not have that slot!
[00:51:52] cs8-aTbp ADMIN: Godwin Rowley try find_inv_position a 14, but not have that slot!
[00:51:52] cs8-aTbp ADMIN: Godwin Rowley try find_inv_position a 11, but not have that slot!
[00:51:52] cs8-aTbp ADMIN: Godwin Rowley try find_inv_position a 13, but not have that slot!
[00:51:52] cs8-aTbp ADMIN: Godwin Rowley try find_inv_position a 12, but not have that slot!
[00:51:52] cs8-aTbp ADMIN: Dalton Clewett try find_inv_position a 14, but not have that slot!
[00:51:52] cs8-aTbp ADMIN: Dalton Clewett try find_inv_position a 11, but not have that slot!
[00:51:52] cs8-aTbp ADMIN: Dalton Clewett try find_inv_position a 13, but not have that slot!
[00:51:52] cs8-aTbp ADMIN: Dalton Clewett try find_inv_position a 12, but not have that slot!
[00:51:52] cs8-aTbp EMOTE: Liam Hice/ : screams!
[00:51:52] cs8-aTbp EMOTE: Liam Hice/ : <B>Liam Hice</B> screams!
[00:51:52] cs8-aTbp ADMIN: Liam Hice try find_inv_position a 14, but not have that slot!
[00:51:52] cs8-aTbp ADMIN: Liam Hice try find_inv_position a 11, but not have that slot!
[00:51:52] cs8-aTbp ADMIN: Liam Hice try find_inv_position a 13, but not have that slot!
[00:51:52] cs8-aTbp ADMIN: Liam Hice try find_inv_position a 12, but not have that slot!
[00:51:53] cs8-aTbp ADMIN: Landyn Quirin try find_inv_position a 14, but not have that slot!
[00:51:53] cs8-aTbp ADMIN: Landyn Quirin try find_inv_position a 11, but not have that slot!
[00:51:53] cs8-aTbp ADMIN: Landyn Quirin try find_inv_position a 13, but not have that slot!
[00:51:53] cs8-aTbp ADMIN: Landyn Quirin try find_inv_position a 12, but not have that slot!
[00:54:58] cs8-aTbp GAME: neutral 2 loaded at at 76,51,19
[00:54:59] cs8-aTbp GAME: neutral 3 loaded at at 56,26,19
[00:55:00] cs8-aTbp GAME: neutral 3 loaded at at 26,26,19
[00:55:01] cs8-aTbp GAME: neutral 3 loaded at at 71,11,19
[00:55:01] cs8-aTbp GAME: neutral 3 loaded at at 106,56,19
[00:55:01] cs8-aTbp GAME: neutral 10 loaded at at 36,56,19
[00:55:01] cs8-aTbp GAME: neutral 11 loaded at at 21,11,19
[00:55:01] cs8-aTbp GAME: neutral 1 loaded at at 61,66,19
[00:55:01] cs8-aTbp GAME: neutral 3 loaded at at 41,56,19
[00:55:01] cs8-aTbp GAME: neutral 8 loaded at at 91,96,19
[00:55:01] cs8-aTbp GAME: neutral 6 loaded at at 36,11,19
[00:55:01] cs8-aTbp GAME: neutral 5 loaded at at 61,11,19
[00:55:01] cs8-aTbp GAME: neutral 1 loaded at at 61,106,19
[00:55:01] cs8-aTbp GAME: neutral 9 loaded at at 66,66,19
[00:55:01] cs8-aTbp GAME: neutral 2 loaded at at 91,41,19
[00:55:01] cs8-aTbp GAME: neutral 2 loaded at at 71,66,19
[00:55:01] cs8-aTbp GAME: neutral 3 loaded at at 66,71,19
[00:55:01] cs8-aTbp GAME: neutral 6 loaded at at 86,56,19
[00:55:01] cs8-aTbp GAME: neutral 8 loaded at at 51,56,19
[00:55:01] cs8-aTbp GAME: neutral 6 loaded at at 56,16,19
[00:55:01] cs8-aTbp GAME: neutral 9 loaded at at 76,61,19
[00:55:01] cs8-aTbp GAME: neutral 6 loaded at at 76,86,19
[00:55:01] cs8-aTbp GAME: neutral 1 loaded at at 91,41,19
[00:55:01] cs8-aTbp GAME: neutral 1 loaded at at 61,26,19
[00:55:02] cs8-aTbp GAME: neutral 5 loaded at at 61,51,19
[00:55:02] cs8-aTbp GAME: neutral 6 loaded at at 91,16,19
[00:55:02] cs8-aTbp GAME: neutral 2 loaded at at 11,46,19
[00:55:02] cs8-aTbp GAME: neutral 4 loaded at at 41,101,19
[00:55:02] cs8-aTbp GAME: neutral 10 loaded at at 101,51,19
[00:55:02] cs8-aTbp GAME: neutral 1 loaded at at 21,41,19
[00:55:02] cs8-aTbp GAME: neutral 5 loaded at at 56,101,19
[00:55:02] cs8-aTbp GAME: neutral 9 loaded at at 21,51,19
[00:55:02] cs8-aTbp GAME: neutral 7 loaded at at 91,81,19
[00:55:02] cs8-aTbp GAME: neutral 8 loaded at at 61,101,19
[00:55:02] cs8-aTbp GAME: neutral 4 loaded at at 101,46,19
[00:55:02] cs8-aTbp GAME: neutral 6 loaded at at 36,96,19
[00:55:02] cs8-aTbp GAME: neutral 8 loaded at at 66,41,19
[00:55:02] cs8-aTbp GAME: neutral 1 loaded at at 76,21,19
[00:55:02] cs8-aTbp GAME: neutral 4 loaded at at 46,96,19
[00:55:22] cs8-aTbp GAME: Emitter deleted at (0,0,0)
[00:58:35] cs8-aTbp ASSET: ERROR: Invalid asset: /datum/asset/simple/craft:obj_item_stack_cable_coil.png:1
[00:58:51] cs8-aTbp ASSET: ERROR: Invalid asset: /datum/asset/simple/craft:obj_item_clothing_glasses_powered_meson.png:1
